id,nom,sous_secteur,wilaya_name,contact_nom,contact_fonction,contact_email_personnel,contact_linkedin_personnel,raison
7746,CNAS,CNAS,Naâma,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
8647,Ensej ade cnas,CNAS,Médéa,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
9567,CNAS Ain-El-Kebira,CNAS,Sétif,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
9800,CNAS DGSN,CNAS,Alger,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-3b8089aa,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
10060,CNAS Mahdia,CNAS,Tiaret,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-3b8089aa,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
10374,CNAS,CNAS,Bordj Bou Arreridj,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
10598,CNAS,CNAS,Béchar,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
10912,CNAS C/P FRENDA,CNAS,Tiaret,Réda Moussi,,,,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
11016,Direction régional CNAS Ouest,CNAS,Oran,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-3b8089aa,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
11053,Crèche - CNAS,CNAS,Biskra,Réda Moussi,,,,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
11500,cnas-3,CNAS,Sétif,Réda Moussi,,,,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
11797,CNAS,CNAS,Médéa,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
11837,Centre de santé CNAS,CNAS,Mascara,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
12241,la CNAS,CNAS,Biskra,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-3b8089aa,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5502,Direction Générale du Recouvrement - CNAS DRCR,CNAS,Alger,Nadir KOUADRIA,Directeur général,,,"contact_nom sur 3 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5528,CNAS,assurance privée,Tissemsilt,Nadir Kouadria,Directeur,,https://dz.linkedin.com/in/nadir-kouadria-8b894a53,"contact_nom sur 3 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
10311,Direction générale CNAS,CNAS,Alger,Nadir KOUADRIA,Directeur général,,https://dz.linkedin.com/in/nadir-kouadria-8b894a53,"contact_nom sur 3 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
